安定,p,115,
解決,p,389,
亀裂,n,7,
思い出,p,109,
上向き,p,3,
悩み,n,184,
しみ,n,140,
過去,n,150,
解消,p,149,
虚無感,n,4,
丈夫,p,38,
大丈夫,p,37,
悲しみ,n,39,
無理,n,110,
トラブル,n,575,
雨漏り,n,1,
可能性,p,1031,
家庭,p,74,
大変,n,39,
発展,p,101,
厄介,n,16,
友人,p,161,
漏り,n,1,
わざ,p,8,
失恋,n,33,
無駄,n,36,
綺麗,p,44,
注意,n,524,
疲れ,n,128,
負担,n,42,
問題,n,477,
おかげ,p,9,
元気,p,28,
親友,p,26,
忘れ,n,110,
無傷,p,8,
やりがい,p,4,
やる気,p,56,
障害,n,41,
不快,n,75,
憂鬱,n,5,
ブレ,n,21,
結婚,p,179,
困難,n,100,
未来,p,138,
ミス,n,53,
怪我,n,53,
原因,n,235,
低下,n,122,
良さ,p,65,
ゲリラ,n,2,
ショック,n,47,
意気,p,6,
意気込み,p,2,
指摘,n,13,
事態,n,39,
準備不足,n,10,
台無し,n,13,
知識,p,39,
知識不足,n,5,
不足,n,46,
チャンス,p,169,
後押し,p,3,
素直,p,55,
コミュニケーション,p,69,
活発,p,15,
冴え,p,11,
自信,p,147,
身軽,p,3,
便利,p,8,
穏やか,p,31,
快晴,p,3,
幸運,p,205,
テンション,p,2,
頑張り,p,51,
苦労,n,43,
幸せ,p,124,
張り,p,72,
幸福,p,51,
賞賛,p,4,
成功,p,124,
尊敬,p,20,
蓄積,n,8,
泥沼,n,3,
泥水,n,4,
反対,n,66,
疲労,n,30,
ため,p,817,
エネルギー,p,80,
クリア,p,19,
意欲,p,39,
苦難,n,6,
事故,n,115,
人生,p,227,
悪化,n,69,
好転,p,61,
ご褒美,p,4,
感謝,p,36,
恵み,p,1,
達成,p,76,
美味,p,14,
平凡,n,5,
雨風,n,2,
回復,p,56,
備え,p,10,
不安,n,495,
負け,n,32,
感傷,n,1,
寂しさ,n,24,
情緒,p,6,
悲しさ,n,3,
別れ,n,134,
プラス,p,67,
マイナス,n,67,
おめでた,p,2,
円満,p,11,
快感,p,39,
順調,p,66,
不快感,n,37,
躍進,p,4,
話題,p,6,
